iter	Passed	Remaining
0	51	51724
1	62	31223
2	74	24697
3	87	21665
4	98	19563
5	109	18095
6	123	17498
7	137	16994
8	147	16237
9	158	15739
10	171	15401
11	185	15242
12	195	14805
13	207	14615
14	219	14401
15	230	14206
16	242	14045
17	254	13905
18	266	13741
19	276	13568
20	290	13561
21	302	13456
22	312	13292
23	324	13182
24	337	13152
25	350	13138
26	361	13039
27	373	12951
28	388	12993
29	401	12965
30	413	12932
31	424	12848
32	436	12800
33	450	12806
34	464	12795
35	474	12714
36	487	12690
37	500	12661
38	512	12627
39	524	12590
40	536	12552
41	549	12535
42	562	12516
43	572	12447
44	585	12418
45	598	12405
46	610	12388
47	621	12332
48	633	12297
49	646	12285
50	657	12241
51	669	12198
52	681	12168
53	693	12155
54	704	12100
55	715	12068
56	730	12084
57	744	12095
58	757	12086
59	770	12073
60	786	12106
61	799	12102
62	812	12084
63	870	12727
64	884	12720
65	904	12799
66	915	12742
67	927	12719
68	944	12737
69	967	12859
70	984	12877
71	1007	12985
72	1024	13011
73	1042	13040
74	1062	13103
75	1078	13115
76	1101	13208
77	1117	13206
78	1133	13215
79	1149	13223
80	1163	13204
81	1179	13201
82	1192	13178
83	1207	13165
84	1223	13174
85	1239	13171
86	1253	13151
87	1266	13126
88	1278	13087
89	1290	13051
90	1299	12978
91	1309	12927
92	1321	12885
93	1331	12834
94	1342	12793
95	1356	12769
96	1367	12733
97	1376	12671
98	1387	12630
99	1398	12583
100	1408	12533
101	1419	12499
102	1430	12460
103	1441	12416
104	1452	12383
105	1462	12338
106	1473	12294
107	1484	12263
108	1495	12221
109	1506	12187
110	1517	12155
111	1527	12111
112	1538	12078
113	1550	12052
114	1561	12016
115	1575	12005
116	1586	11971
117	1598	11945
118	1608	11904
119	1620	11882
120	1632	11856
121	1642	11822
122	1653	11790
123	1665	11763
124	1678	11747
125	1689	11717
126	1699	11681
127	1710	11653
128	1721	11623
129	1732	11596
130	1744	11569
131	1755	11545
132	1767	11524
133	1781	11511
134	1794	11496
135	1804	11464
136	1815	11435
137	1826	11408
138	1836	11377
139	1847	11348
140	1858	11322
141	1869	11295
142	1881	11278
143	1898	11284
144	1911	11273
145	1928	11281
146	1942	11271
147	1957	11270
148	1968	11244
149	1979	11215
150	1990	11194
151	2001	11168
152	2013	11144
153	2024	11121
154	2034	11093
155	2046	11070
156	2057	11048
157	2068	11022
158	2079	10998
159	2092	10987
160	2104	10966
161	2114	10940
162	2125	10914
163	2135	10886
164	2147	10865
165	2158	10847
166	2172	10837
167	2185	10822
168	2199	10816
169	2213	10808
170	2227	10796
171	2241	10788
172	2254	10776
173	2269	10773
174	2283	10764
175	2296	10750
176	2309	10738
177	2323	10728
178	2336	10717
179	2349	10705
180	2362	10690
181	2377	10684
182	2389	10669
183	2405	10665
184	2418	10653
185	2431	10639
186	2444	10629
187	2458	10618
188	2471	10605
189	2486	10598
190	2499	10585
191	2512	10572
192	2525	10559
193	2538	10545
194	2552	10535
195	2565	10525
196	2578	10508
197	2591	10494
198	2604	10485
199	2618	10474
200	2631	10462
201	2643	10445
202	2657	10431
203	2669	10417
204	2683	10407
205	2697	10396
206	2709	10380
207	2722	10366
208	2735	10353
209	2749	10342
210	2763	10331
211	2776	10320
212	2790	10309
213	2803	10295
214	2816	10283
215	2829	10270
216	2843	10259
217	2856	10245
218	2872	10244
219	2888	10241
220	2906	10244
221	2924	10247
222	2942	10251
223	2956	10242
224	2971	10235
225	2987	10231
226	3003	10228
227	3018	10219
228	3032	10210
229	3045	10197
230	3059	10185
231	3072	10171
232	3084	10155
233	3097	10139
234	3111	10128
235	3124	10115
236	3137	10100
237	3150	10087
238	3163	10071
239	3176	10059
240	3193	10058
241	3212	10062
242	3230	10064
243	3246	10058
244	3267	10067
245	3286	10072
246	3309	10088
247	3327	10089
248	3344	10087
249	3361	10084
250	3376	10076
251	3390	10063
252	3403	10049
253	3416	10034
254	3431	10024
255	3446	10016
256	3460	10003
257	3476	9998
258	3490	9985
259	3503	9971
260	3515	9953
261	3528	9940
262	3541	9924
263	3556	9916
264	3572	9907
265	3592	9914
266	3609	9909
267	3626	9906
268	3645	9906
269	3659	9895
270	3674	9883
271	3689	9873
272	3703	9861
273	3717	9849
274	3730	9834
275	3742	9816
276	3753	9797
277	3767	9784
278	3779	9767
279	3791	9749
280	3802	9730
281	3816	9716
282	3828	9698
283	3840	9681
284	3851	9663
285	3865	9650
286	3877	9632
287	3889	9616
288	3902	9600
289	3917	9590
290	3931	9579
291	3945	9567
292	3959	9553
293	3971	9536
294	3986	9526
295	3999	9512
296	4012	9496
297	4023	9478
298	4035	9462
299	4048	9446
300	4061	9430
301	4072	9412
302	4086	9400
303	4098	9384
304	4112	9370
305	4124	9354
306	4136	9337
307	4151	9327
308	4164	9312
309	4177	9297
310	4189	9281
311	4201	9264
312	4213	9248
313	4226	9233
314	4238	9216
315	4251	9202
316	4264	9188
317	4277	9173
318	4290	9159
319	4302	9142
320	4315	9128
321	4329	9115
322	4342	9101
323	4360	9096
324	4375	9087
325	4394	9084
326	4411	9078
327	4426	9068
328	4442	9059
329	4456	9047
330	4468	9032
331	4482	9018
332	4494	9002
333	4507	8988
334	4521	8975
335	4532	8957
336	4545	8943
337	4559	8930
338	4573	8917
339	4586	8902
340	4597	8885
341	4612	8873
342	4624	8857
343	4637	8843
344	4648	8825
345	4660	8810
346	4673	8794
347	4686	8781
348	4700	8768
349	4712	8751
350	4725	8736
351	4739	8724
352	4753	8711
353	4767	8700
354	4778	8682
355	4790	8666
356	4803	8652
357	4816	8638
358	4829	8622
359	4841	8607
360	4854	8592
361	4866	8577
362	4878	8560
363	4891	8545
364	4904	8533
365	4918	8520
366	4931	8505
367	4942	8488
368	4956	8475
369	4969	8461
370	4982	8447
371	4994	8431
372	5006	8415
373	5019	8401
374	5031	8386
375	5043	8370
376	5056	8355
377	5069	8341
378	5081	8326
379	5093	8310
380	5105	8294
381	5117	8279
382	5131	8266
383	5142	8250
384	5154	8234
385	5169	8223
386	5182	8209
387	5196	8196
388	5207	8179
389	5220	8165
390	5233	8150
391	5246	8137
392	5259	8123
393	5271	8107
394	5284	8093
395	5297	8079
396	5311	8067
397	5323	8052
398	5335	8036
399	5347	8021
400	5360	8007
401	5372	7991
402	5384	7977
403	5396	7961
404	5409	7947
405	5421	7931
406	5432	7915
407	5445	7901
408	5458	7887
409	5469	7871
410	5482	7857
411	5495	7842
412	5508	7828
413	5519	7812
414	5532	7798
415	5544	7783
416	5557	7769
417	5569	7755
418	5581	7739
419	5595	7726
420	5608	7713
421	5621	7699
422	5632	7683
423	5645	7669
424	5658	7655
425	5670	7641
426	5682	7625
427	5695	7611
428	5709	7599
429	5722	7585
430	5736	7572
431	5748	7557
432	5760	7543
433	5772	7528
434	5786	7515
435	5798	7500
436	5811	7486
437	5824	7473
438	5838	7460
439	5850	7446
440	5861	7430
441	5874	7416
442	5888	7403
443	5901	7390
444	5912	7374
445	5925	7360
446	5938	7346
447	5952	7334
448	5965	7320
449	5977	7305
450	5990	7291
451	6004	7279
452	6017	7266
453	6029	7250
454	6041	7236
455	6053	7221
456	6066	7208
457	6078	7193
458	6090	7179
459	6103	7164
460	6117	7152
461	6131	7139
462	6142	7124
463	6154	7109
464	6166	7095
465	6180	7082
466	6191	7067
467	6204	7053
468	6218	7040
469	6231	7027
470	6244	7013
471	6256	6998
472	6269	6984
473	6282	6971
474	6295	6958
475	6306	6942
476	6319	6928
477	6333	6916
478	6347	6903
479	6361	6891
480	6374	6878
481	6386	6862
482	6398	6848
483	6411	6835
484	6424	6821
485	6436	6807
486	6448	6793
487	6461	6779
488	6475	6766
489	6487	6752
490	6499	6737
491	6511	6723
492	6526	6711
493	6539	6698
494	6550	6683
495	6563	6669
496	6577	6656
497	6590	6643
498	6605	6632
499	6624	6624
500	6647	6620
501	6672	6618
502	6693	6614
503	6715	6608
504	6740	6606
505	6762	6602
506	6785	6598
507	6807	6592
508	6828	6587
509	6851	6582
510	6872	6576
511	6894	6570
512	6916	6566
513	6939	6561
514	6962	6556
515	6984	6551
516	7006	6545
517	7027	6539
518	7049	6533
519	7072	6528
520	7094	6522
521	7117	6517
522	7139	6511
523	7160	6504
524	7185	6500
525	7206	6494
526	7228	6488
527	7250	6481
528	7274	6477
529	7297	6471
530	7320	6465
531	7342	6459
532	7366	6454
533	7388	6447
534	7411	6441
535	7434	6435
536	7455	6428
537	7480	6423
538	7502	6417
539	7526	6411
540	7548	6404
541	7570	6397
542	7595	6392
543	7616	6384
544	7637	6376
545	7660	6369
546	7684	6364
547	7708	6358
548	7730	6350
549	7750	6341
550	7773	6334
551	7795	6326
552	7816	6318
553	7838	6310
554	7860	6302
555	7882	6294
556	7906	6288
557	7930	6281
558	7952	6273
559	7975	6266
560	7996	6257
561	8020	6251
562	8042	6242
563	8064	6234
564	8087	6226
565	8111	6219
566	8133	6211
567	8156	6203
568	8179	6195
569	8202	6187
570	8224	6179
571	8248	6171
572	8270	6162
573	8291	6153
574	8317	6147
575	8339	6138
576	8362	6130
577	8384	6121
578	8407	6113
579	8432	6106
580	8455	6098
581	8478	6089
582	8501	6080
583	8521	6069
584	8544	6061
585	8566	6052
586	8588	6042
587	8612	6034
588	8635	6025
589	8659	6017
590	8680	6007
591	8704	5998
592	8726	5989
593	8749	5980
594	8771	5970
595	8793	5960
596	8815	5950
597	8838	5941
598	8862	5932
599	8883	5922
600	8907	5913
601	8931	5905
602	8957	5897
603	8982	5889
604	9009	5882
605	9035	5874
606	9062	5867
607	9087	5859
608	9114	5851
609	9138	5842
610	9161	5833
611	9184	5822
612	9205	5811
613	9228	5801
614	9251	5791
615	9274	5781
616	9296	5770
617	9319	5760
618	9340	5749
619	9365	5739
620	9387	5729
621	9407	5717
622	9429	5706
623	9452	5696
624	9474	5684
625	9499	5675
626	9522	5664
627	9546	5654
628	9569	5644
629	9591	5633
630	9614	5622
631	9636	5610
632	9658	5599
633	9680	5588
634	9701	5576
635	9723	5565
636	9746	5553
637	9768	5542
638	9790	5531
639	9810	5518
640	9833	5507
641	9853	5494
642	9878	5484
643	9901	5473
644	9923	5461
645	9945	5449
646	9966	5437
647	9989	5426
648	10013	5415
649	10035	5403
650	10058	5392
651	10079	5379
652	10104	5369
653	10126	5357
654	10147	5345
655	10169	5332
656	10192	5321
657	10215	5309
658	10239	5298
659	10261	5286
660	10285	5275
661	10309	5263
662	10331	5251
663	10353	5239
664	10376	5227
665	10398	5214
666	10421	5202
667	10441	5189
668	10462	5176
669	10484	5163
